Frame,Visibility,X,Y,Time
3,0,0,0,00:00:00.06666666666666667
4,0,0,0,00:00:00.1
5,1,632,396,00:00:00.13333333333333333
6,0,0,0,00:00:00.16666666666666666
7,0,0,0,00:00:00.2
8,0,0,0,00:00:00.23333333333333334
9,1,631,397,00:00:00.26666666666666666
10,0,0,0,00:00:00.3
11,0,0,0,00:00:00.3333333333333333
12,0,0,0,00:00:00.36666666666666664
13,0,0,0,00:00:00.4
14,0,0,0,00:00:00.43333333333333335
15,0,0,0,00:00:00.4666666666666667
16,0,0,0,00:00:00.5
17,0,0,0,00:00:00.5333333333333333
18,0,0,0,00:00:00.5666666666666667
19,0,0,0,00:00:00.6
20,0,0,0,00:00:00.6333333333333333
21,0,0,0,00:00:00.6666666666666666
22,0,0,0,00:00:00.7
23,0,0,0,00:00:00.7333333333333333
24,0,0,0,00:00:00.7666666666666666
25,1,650,361,00:00:00.8
26,0,0,0,00:00:00.8333333333333334
27,1,651,360,00:00:00.8666666666666667
28,0,0,0,00:00:00.9
29,0,0,0,00:00:00.9333333333333333
30,1,610,338,00:00:00.9666666666666667
31,1,651,361,00:00:01.0
32,1,615,348,00:00:01.0333333333333332
33,1,556,577,00:00:01.0666666666666667
34,1,455,377,00:00:01.1
35,1,658,360,00:00:01.1333333333333333
36,1,455,377,00:00:01.1666666666666667
37,1,567,577,00:00:01.2
38,1,571,577,00:00:01.2333333333333334
39,1,667,346,00:00:01.2666666666666666
40,1,668,351,00:00:01.3
41,1,668,351,00:00:01.3333333333333333
42,1,671,356,00:00:01.3666666666666667
43,1,673,358,00:00:01.4
44,0,0,0,00:00:01.4333333333333333
45,1,676,366,00:00:01.4666666666666666
46,1,676,373,00:00:01.5
47,1,677,373,00:00:01.5333333333333332
48,1,680,381,00:00:01.5666666666666667
49,1,681,388,00:00:01.6
50,1,681,401,00:00:01.6333333333333333
51,0,0,0,00:00:01.6666666666666667
52,0,0,0,00:00:01.7
53,0,0,0,00:00:01.7333333333333334
54,0,0,0,00:00:01.7666666666666666
55,0,0,0,00:00:01.8
56,0,0,0,00:00:01.8333333333333333
57,0,0,0,00:00:01.8666666666666667
58,0,0,0,00:00:01.9
59,0,0,0,00:00:01.9333333333333333
60,0,0,0,00:00:01.9666666666666666
61,1,701,402,00:00:02.0
62,1,711,397,00:00:02.033333333333333
63,1,716,388,00:00:02.0666666666666664
64,1,721,382,00:00:02.1
65,1,721,385,00:00:02.1333333333333333
66,1,725,377,00:00:02.1666666666666665
67,1,726,373,00:00:02.2
68,1,730,372,00:00:02.2333333333333334
69,1,732,371,00:00:02.2666666666666666
70,1,736,371,00:00:02.3
71,1,736,370,00:00:02.3333333333333335
72,1,738,372,00:00:02.3666666666666667
73,1,742,372,00:00:02.4
74,1,746,378,00:00:02.433333333333333
75,1,748,385,00:00:02.466666666666667
76,1,751,388,00:00:02.5
77,1,751,388,00:00:02.533333333333333
78,1,753,396,00:00:02.5666666666666664
79,1,756,405,00:00:02.6
80,1,758,415,00:00:02.6333333333333333
81,1,761,423,00:00:02.6666666666666665
82,1,762,432,00:00:02.7
83,1,763,431,00:00:02.7333333333333334
84,0,0,0,00:00:02.7666666666666666
85,1,770,426,00:00:02.8
86,1,771,407,00:00:02.8333333333333335
87,1,771,397,00:00:02.8666666666666667
88,1,771,388,00:00:02.9
89,1,771,390,00:00:02.933333333333333
90,0,0,0,00:00:02.966666666666667
91,1,773,371,00:00:03.0
92,1,775,367,00:00:03.033333333333333
93,1,776,366,00:00:03.0666666666666664
94,1,776,363,00:00:03.1
95,1,776,362,00:00:03.1333333333333333
96,1,776,363,00:00:03.1666666666666665
97,1,775,366,00:00:03.2
98,1,775,367,00:00:03.2333333333333334
99,1,775,371,00:00:03.2666666666666666
100,1,773,373,00:00:03.3
101,1,773,373,00:00:03.3333333333333335
102,1,773,381,00:00:03.3666666666666667
103,1,773,386,00:00:03.4
104,1,776,396,00:00:03.433333333333333
105,1,775,406,00:00:03.466666666666667
106,1,776,415,00:00:03.5
107,1,776,413,00:00:03.533333333333333
108,1,776,425,00:00:03.5666666666666664
109,1,776,437,00:00:03.6
110,0,0,0,00:00:03.6333333333333333
111,1,732,365,00:00:03.6666666666666665
112,1,638,378,00:00:03.6999999999999997
113,0,0,0,00:00:03.7333333333333334
114,1,686,276,00:00:03.7666666666666666
115,1,671,248,00:00:03.8
116,1,652,215,00:00:03.8333333333333335
117,1,641,196,00:00:03.8666666666666667
118,1,631,176,00:00:03.9
119,1,631,178,00:00:03.933333333333333
120,1,616,156,00:00:03.966666666666667
121,1,607,143,00:00:04.0
122,1,597,130,00:00:04.033333333333333
