,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,38,B,2,2,2,736,386,633,565,724,415,2,X
1,2,104,A,2,2,1,787,542,734,385,690,578,7,X
2,3,121,B,2,2,2,782,471,771,567,708,398,6,X
3,4,149,A,2,1,2,561,573,744,445,702,571,9,X
4,5,166,B,2,1,1,619,397,615,573,689,441,8,X
5,6,200,A,2,2,1,876,617,608,408,657,594,3,X
6,7,239,B,2,2,1,811,376,842,628,649,412,3,A
7,0,0,A,0,0,0,0,0,0,0,0,0,0,X
8,1,16,B,2,2,2,511,352,670,550,566,376,2,X
9,2,77,A,2,2,1,480,575,536,353,634,579,5,X
10,3,96,B,2,1,2,609,405,647,580,529,373,6,X
11,4,115,A,2,2,2,486,576,658,404,625,583,9,X
12,5,136,B,1,2,1,442,378,568,585,593,394,5,B
13,0,0,A,0,0,0,0,0,0,0,0,0,0,X
14,1,18,B,2,2,2,596,375,665,586,550,413,2,X
15,2,78,A,2,2,1,853,623,605,371,660,590,3,X
16,3,112,B,2,2,1,779,442,825,641,644,411,7,X
17,4,134,A,2,1,2,780,509,731,437,729,622,6,X
18,5,164,B,2,2,2,788,487,750,518,704,441,6,X
19,6,189,A,2,1,2,651,642,742,471,712,552,8,X
20,7,233,B,2,2,1,475,442,643,648,647,423,7,X
21,8,260,A,2,2,2,473,526,508,436,638,629,6,X
22,9,288,B,2,1,2,482,376,500,538,580,435,8,X
23,10,323,A,2,2,1,775,629,526,377,576,581,3,X
24,11,355,B,2,2,1,801,433,732,637,619,406,7,X
25,12,379,A,2,1,2,507,523,755,432,683,610,6,X
26,13,408,B,2,1,2,507,379,543,533,653,434,8,X
27,14,451,A,2,2,1,819,613,524,381,607,579,3,X
28,15,480,B,2,2,1,517,450,746,622,630,395,7,X
29,16,506,A,2,2,2,471,524,555,441,763,621,6,X
30,17,537,B,2,1,2,494,376,495,537,574,439,8,X
31,18,585,A,2,2,1,818,545,516,375,603,586,7,X
32,19,611,B,2,2,2,810,480,770,555,579,391,6,X
33,20,641,A,2,1,2,841,649,771,466,720,565,8,X
34,21,702,B,2,2,1,751,381,808,654,674,429,3,X
35,22,742,A,2,2,1,832,648,717,385,689,604,3,X
36,23,778,B,2,2,1,795,383,796,654,664,407,3,X
37,24,811,A,2,2,1,517,626,713,389,696,611,3,X
38,25,841,B,2,2,1,553,384,591,627,677,399,3,X
39,26,884,A,2,2,1,476,552,565,386,628,602,7,X
40,27,913,B,2,1,2,525,381,499,562,572,399,8,X
41,28,947,A,2,2,1,398,675,554,382,599,589,3,A
42,0,0,A,0,0,0,0,0,0,0,0,0,0,X
43,1,32,A,2,1,2,689,533,627,438,712,600,1,X
44,2,57,B,2,2,2,763,480,657,556,613,433,6,X
45,3,84,A,2,1,2,775,511,719,462,677,571,6,X
46,4,110,B,2,2,2,497,377,766,535,673,445,8,X
47,5,156,A,2,2,1,480,556,528,374,645,570,7,X
48,6,177,B,2,1,2,466,469,523,564,576,401,6,X
49,7,206,A,2,2,2,847,653,501,441,580,577,8,X
50,8,242,B,2,2,1,538,460,784,649,621,424,7,X
51,9,267,A,2,2,1,649,528,557,445,701,610,6,X
52,10,294,B,2,2,2,805,471,644,560,617,437,6,X
53,11,324,A,2,1,2,805,514,755,460,706,590,6,X
54,12,349,B,2,2,2,826,494,766,546,680,438,6,X
55,13,377,A,2,1,2,753,653,793,478,711,553,8,X
56,14,427,B,2,2,1,663,419,720,656,623,411,5,X
57,15,439,A,2,1,2,555,520,604,404,756,641,6,X
58,16,467,B,2,1,2,511,493,579,549,631,414,6,X
59,17,495,A,2,2,2,745,665,536,473,577,547,8,X
60,18,548,B,2,2,1,796,434,696,672,611,420,7,X
61,19,571,A,2,1,2,832,531,757,426,709,620,6,X
62,20,596,B,2,2,2,808,372,792,553,680,422,9,B
63,0,0,A,0,0,0,0,0,0,0,0,0,0,X
64,1,12,B,2,1,2,661,365,624,521,722,319,1,X
65,2,34,A,2,2,2,713,462,695,370,657,543,6,X
66,3,52,B,2,2,2,600,357,690,507,646,355,6,X
67,4,74,A,2,2,2,810,461,631,365,675,519,6,X
68,5,94,B,2,2,2,764,325,751,483,603,342,9,X
69,6,108,A,2,1,2,840,476,608,340,738,517,6,X
70,7,132,B,2,2,2,800,359,778,517,653,336,6,X
71,8,156,A,2,1,2,516,452,748,360,721,521,6,X
72,9,181,B,2,1,2,715,329,570,487,656,343,9,X
73,10,194,A,2,1,2,503,585,582,334,597,482,8,X
74,11,226,B,1,2,1,502,328,544,578,569,337,5,X
75,12,243,A,2,2,2,483,484,536,323,522,590,6,X
