ShotSeq ,HitFrame ,Hitter ,RoundHead ,Backhand ,BallHeight ,LandingX ,LandingY ,HitterLocationX ,HitterLocationY ,DefenderLocationX ,DefenderLocationY ,BallType ,Winner
      1 ,      12 ,B      ,        2 ,       1 ,         2 ,     661 ,     365 ,            624 ,            521 ,              722 ,              319 ,       1 ,X
      2 ,      34 ,A      ,        2 ,       2 ,         2 ,     713 ,     462 ,            695 ,            370 ,              657 ,              543 ,       6 ,X
      3 ,      52 ,B      ,        2 ,       2 ,         2 ,     600 ,     357 ,            690 ,            507 ,              646 ,              355 ,       6 ,X
      4 ,      74 ,A      ,        2 ,       2 ,         2 ,     810 ,     461 ,            631 ,            365 ,              675 ,              519 ,       6 ,X
      5 ,      94 ,B      ,        2 ,       2 ,         2 ,     764 ,     325 ,            751 ,            483 ,              603 ,              342 ,       9 ,X
      6 ,     108 ,A      ,        2 ,       1 ,         2 ,     840 ,     476 ,            608 ,            340 ,              738 ,              517 ,       6 ,X
      7 ,     132 ,B      ,        2 ,       2 ,         2 ,     800 ,     359 ,            778 ,            517 ,              653 ,              336 ,       6 ,X
      8 ,     156 ,A      ,        2 ,       1 ,         2 ,     516 ,     452 ,            748 ,            360 ,              721 ,              521 ,       6 ,X
      9 ,     181 ,B      ,        2 ,       1 ,         2 ,     715 ,     329 ,            570 ,            487 ,              656 ,              343 ,       9 ,X
     10 ,     194 ,A      ,        2 ,       1 ,         2 ,     503 ,     585 ,            582 ,            334 ,              597 ,              482 ,       8 ,X
     11 ,     226 ,B      ,        1 ,       2 ,         1 ,     502 ,     328 ,            544 ,            578 ,              569 ,              337 ,       5 ,X
     12 ,     243 ,A      ,        2 ,       2 ,         2 ,     483 ,     484 ,            536 ,            323 ,              522 ,              590 ,       6 ,X
     13 ,     263 ,B      ,        2 ,       1 ,         2 ,     612 ,     337 ,            541 ,            513 ,              540 ,              327 ,       9 ,X
     14 ,     279 ,A      ,        2 ,       1 ,         2 ,     454 ,     606 ,            540 ,            344 ,              589 ,              517 ,       8 ,X
     15 ,     312 ,B      ,        1 ,       2 ,         1 ,     499 ,     325 ,            543 ,            599 ,              587 ,              332 ,       5 ,X
     16 ,     330 ,A      ,        2 ,       2 ,         2 ,     442 ,     488 ,            539 ,            331 ,              536 ,              621 ,       6 ,X
     17 ,     354 ,B      ,        2 ,       1 ,         2 ,     790 ,     379 ,            481 ,            519 ,              566 ,              341 ,       6 ,X
     18 ,     380 ,A      ,        2 ,       1 ,         2 ,     517 ,     627 ,            725 ,            368 ,              644 ,              526 ,       8 ,X
     19 ,     422 ,B      ,        1 ,       2 ,         1 ,     512 ,     334 ,            542 ,            630 ,              590 ,              337 ,       5 ,X
     20 ,     439 ,A      ,        2 ,       2 ,         2 ,     663 ,     477 ,            561 ,            336 ,              555 ,              633 ,       6 ,X
     21 ,     464 ,B      ,        2 ,       2 ,         2 ,     481 ,     378 ,            611 ,            513 ,              605 ,              337 ,       6 ,X
     22 ,     489 ,A      ,        2 ,       2 ,         2 ,     426 ,     609 ,            510 ,            373 ,              615 ,              537 ,       8 ,X
     23 ,     520 ,B      ,        2 ,       1 ,         2 ,     729 ,     355 ,            449 ,            616 ,              570 ,              345 ,       7 ,X
     24 ,     547 ,A      ,        2 ,       1 ,         2 ,     529 ,     612 ,            682 ,            354 ,              616 ,              569 ,       8 ,X
     25 ,     581 ,B      ,        1 ,       2 ,         1 ,     494 ,     289 ,            562 ,            617 ,              588 ,              335 ,       3 ,X
     26 ,     620 ,A      ,        2 ,       2 ,         1 ,     432 ,     478 ,            490 ,            296 ,              614 ,              557 ,       7 ,X
     27 ,     642 ,B      ,        2 ,       1 ,         2 ,     781 ,     374 ,            473 ,            518 ,              543 ,              304 ,       6 ,X
     28 ,     669 ,A      ,        2 ,       1 ,         2 ,     493 ,     615 ,            723 ,            371 ,              632 ,              530 ,       9 ,X
     29 ,     707 ,B      ,        1 ,       2 ,         1 ,     782 ,     320 ,            549 ,            616 ,              597 ,              339 ,       5 ,X
     30 ,     725 ,A      ,        2 ,       1 ,         2 ,     852 ,     473 ,            643 ,            331 ,              506 ,              625 ,       6 ,X
     31 ,     752 ,B      ,        2 ,       2 ,         2 ,     813 ,     379 ,            771 ,            503 ,              698 ,              341 ,       6 ,X
     32 ,     780 ,A      ,        2 ,       1 ,         2 ,     826 ,     625 ,            761 ,            364 ,              687 ,              520 ,       8 ,X
     33 ,     817 ,B      ,        2 ,       2 ,         2 ,     800 ,     298 ,            769 ,            630 ,              669 ,              324 ,       3 ,X
     34 ,     850 ,A      ,        1 ,       2 ,         1 ,     841 ,     540 ,            722 ,            317 ,              668 ,              573 ,       5 ,X
     35 ,     865 ,B      ,        2 ,       2 ,         2 ,     536 ,     324 ,            729 ,            561 ,              744 ,              303 ,       4 ,X
     36 ,     890 ,A      ,        2 ,       2 ,         2 ,     467 ,     565 ,            562 ,            327 ,              725 ,              561 ,       4 ,X
     37 ,     906 ,B      ,        2 ,       2 ,         2 ,     505 ,     382 ,            686 ,            556 ,              572 ,              343 ,       6 ,X
     38 ,     933 ,A      ,        2 ,       2 ,         2 ,     376 ,     613 ,            514 ,            361 ,              603 ,              539 ,       8 ,X
     39 ,     969 ,B      ,        2 ,       1 ,         2 ,     564 ,     270 ,            418 ,            622 ,              542 ,              346 ,       3 ,A
