ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,50,B,2,1,2,701,352,631,504,703,315,1,X
2,74,A,2,1,2,852,593,647,348,642,517,9,X
3,108,B,2,2,1,804,303,774,602,643,313,4,X
4,123,A,2,1,2,849,542,649,306,729,573,8,X
5,151,B,2,2,1,575,306,759,540,670,308,5,X
6,164,A,2,2,2,512,496,620,301,860,539,6,X
7,188,B,2,1,1,595,362,551,500,561,305,6,X
8,211,A,2,1,2,511,426,583,346,571,523,6,X
9,240,B,2,1,2,712,286,496,447,583,350,9,X
10,272,A,2,2,1,413,563,628,303,578,502,5,A
